GRAY	LAB_L	LAB_A	LAB_B
0.00	95.05	0.00	0.00
2.50	94.34	0.00	0.00
5.00	92.63	0.00	0.00
7.50	89.82	0.00	0.00
10.00	88.39	0.00	0.00
15.00	86.22	0.00	0.00
20.00	83.72	0.00	0.00
25.00	77.64	0.00	0.00
30.00	70.78	0.00	0.00
35.00	67.02	0.00	0.00
40.00	63.19	0.00	0.00
45.00	58.77	0.00	0.00
50.00	53.79	0.00	0.00
55.00	52.36	0.00	0.00
60.00	50.95	0.00	0.00
65.00	46.67	0.00	0.00
70.00	43.78	0.00	0.00
75.00	40.66	0.00	0.00
80.00	36.89	0.00	0.00
85.00	33.90	0.00	0.00
90.00	30.69	0.00	0.00
92.50	27.35	0.00	0.00
95.00	26.09	0.00	0.00
97.50	23.84	0.00	0.00
100.00	21.32	0.00	0.00
