GRAY	LAB_L	LAB_A	LAB_B
0.00	95.20	0.00	0.00
2.50	94.71	0.00	0.00
5.00	89.28	0.00	0.00
7.50	85.64	0.00	0.00
10.00	81.89	0.00	0.00
15.00	77.66	0.00	0.00
20.00	68.75	0.00	0.00
25.00	59.96	0.00	0.00
30.00	54.23	0.00	0.00
35.00	48.14	0.00	0.00
40.00	46.31	0.00	0.00
45.00	43.86	0.00	0.00
50.00	39.06	0.00	0.00
55.00	36.04	0.00	0.00
60.00	34.14	0.00	0.00
65.00	36.62	0.00	0.00
70.00	34.23	0.00	0.00
75.00	32.60	0.00	0.00
80.00	29.69	0.00	0.00
85.00	27.36	0.00	0.00
90.00	25.95	0.00	0.00
92.50	22.96	0.00	0.00
95.00	21.36	0.00	0.00
97.50	18.37	0.00	0.00
100.00	17.25	0.00	0.00
